filenames,captions
"Lincoln's Gettysburg Address, Gettysburg, highlighted version.png","[[File:Lincoln's Gettysburg Address, Gettysburg, highlighted version.png|thumb|upright=1.25|Lincoln (absent his usual [[top hat]] and highlighted in red) at [[Gettysburg Battlefield|Gettysburg]] on November 19, 1863. Roughly three hours later, he delivered the [[Gettysburg Address]], one of the best known speeches in [[history of the United States|American history]].&lt;ref&gt;{{cite book |last=Conant |first=Sean |date=2015 |title=The Gettysburg Address: Perspectives on Lincoln's Greatest Speech |url=https://books.google.com/books?id=_bmyBwAAQBAJ&amp;pg=PR9 |location=New York|publisher=Oxford University Press |page=ix |isbn=978-0-19-022745-6}}&lt;/ref&gt;&lt;ref&gt;{{cite book |last=Holsinger |first=M. Paul |date=1999 |title=War and American Popular Culture: A Historical Encyclopedia |url=https://books.google.com/books?id=Oe4AOVHkJ9oC&amp;pg=PA102 |location=Westport, CT |publisher=Greenwood Press |page=102 |isbn=978-0-313-29908-7}}&lt;/ref&gt;|alt=Large group of people]]"
ElectoralCollege1864.svg,"[[File:ElectoralCollege1864.svg|thumb|upright=1.3|alt=Map of the U.S. showing Lincoln winning all the Union states except for Kentucky, New Jersey, and Delaware. The Southern states are not included.|An [[Electoral College (United States)|electoral]] landslide for Lincoln (in red) in the 1864 election; southern states (brown) and territories (gray) not in play]]"
Republican presidential ticket 1864b.jpg,[[File:Republican presidential ticket 1864b.jpg|thumb|A poster of the 1864 election campaign with [[Andrew Johnson]] as the candidate for vice president]]
Abraham Lincoln second inaugural address.jpg,"[[File:Abraham Lincoln second inaugural address.jpg|thumb|alt=A large crowd in front of a large building with many pillars|Lincoln's [[Abraham Lincoln's second inaugural address|second inaugural address]] at the almost completed Capitol building, March 4, 1865]]"
Lincoln and Johnsond.jpg,"[[File:Lincoln and Johnsond.jpg|alt=Cartoon of Lincoln and Johnson attempting to stitch up the broken Union|thumb|A political cartoon of Vice President Andrew Johnson (a former tailor) and Lincoln, 1865, entitled ''The 'Rail Splitter' At Work Repairing the Union''. The caption reads (Johnson): &quot;Take it quietly Uncle Abe and I will draw it closer than ever.&quot; (Lincoln): &quot;A few more stitches Andy and the good old Union will be mended.&quot;]]"
Lincoln assassination slide c1900 - Restoration.jpg,"[[File:Lincoln assassination slide c1900 - Restoration.jpg|thumb|right|alt=Painting of Lincoln being shot by Booth while sitting in a theater booth.|Shown in the presidential booth of Ford's Theatre, from left to right, are assassin [[John Wilkes Booth]], Abraham Lincoln, [[Mary Todd Lincoln]], [[Clara Harris]], and [[Henry Rathbone]].]]"
AbrahamLincolnOilPainting1869Restored.jpg,"[[File:AbrahamLincolnOilPainting1869Restored.jpg|thumb|upright|alt=Lincoln sitting with his hand on his chin and his elbow on his leg.|''[[Abraham Lincoln (Healy)|Abraham Lincoln]]'', painting by [[George Peter Alexander Healy]] in 1869]]"
"Abraham Lincoln O-116 by Gardner, 1865-crop.png","[[File:Abraham Lincoln O-116 by Gardner, 1865-crop.png|thumb|upright|alt=An older, tired-looking Abraham Lincoln with a beard.|Lincoln in February 1865, two months before his death]]"
20160518 092 mieza nympheum.jpg,"[[File:20160518 092 mieza nympheum.jpg|thumb|left|School of Aristotle in [[Mieza, Macedonia|Mieza]], [[Macedonia (Greece)|Macedonia, Greece]]. ]]"
Aristotle_tutoring_Alexander.jpg,[[File:Aristotle_tutoring_Alexander.jpg|thumb|upright|&quot;Aristotle tutoring Alexander&quot; by [[Jean Leon Gerome Ferris]]. ]]
Aristoteles Louvre.jpg,[[File:Aristoteles Louvre.jpg| thumb | upright | [[Bust (sculpture)|Portrait bust]] of Aristotle; an [[Roman Empire|Imperial Roman]] (1st or 2nd century CE) copy of a lost [[bronze sculpture]] made by [[Lysippos]].]]
Modus Barbara Equations.svg,|&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;All men are mortal.&lt;br /&gt;&lt;br /&gt;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;All Greeks are men.&lt;br /&gt;&lt;br /&gt;[[Therefore sign|∴]] All Greeks are mortal.||M a P&lt;br /&gt;&lt;br /&gt;S a M&lt;br /&gt;&lt;br /&gt;S a P||[[File:Modus Barbara Equations.svg|180px]]
Sanzio 01 Plato Aristotle.jpg,"[[File:Sanzio 01 Plato Aristotle.jpg| thumb | upright | [[Plato]] (left) and Aristotle in [[Raphael]]'s 1509 fresco, ''[[The School of Athens]]''. Aristotle holds his ''[[Nicomachean Ethics]]'' and gestures to the earth, representing his view in immanent realism, whilst Plato gestures to the heavens, indicating his Theory of Forms, and holds his ''[[Timaeus (dialogue)|Timaeus]]''.{{sfn| School of Athens}}{{sfn|Stewart|2019}}]]"
Platonic and Aristotelian Forms.svg,"[[File:Platonic and Aristotelian Forms.svg| thumb | upright=1.5 | [[Plato]]'s [[Theory of forms|forms]] exist as [[universals]], like the ideal form of an apple. For Aristotle, both matter and form belong to the individual thing ([[hylomorphism]]).]]"
Flute-player dolphin Alcesti Group MAN.jpg,[[File:Flute-player dolphin Alcesti Group MAN.jpg| thumb | Aristotle argued that a capability like playing the flute could be acquired – [[Potentiality and actuality (Aristotle)|the potential made actual]] – by learning.]]
Four Classical Elements in Burning Log.svg,"[[File:Four Classical Elements in Burning Log.svg| thumb | The four [[classical element]]s (fire, air, water, earth) of [[Empedocles]] and Aristotle illustrated with a burning log. The log releases all four elements as it is destroyed.]]"
Aristotle's laws of motion.svg,[[File:Aristotle's laws of motion.svg| thumb | upright=1.5 | Aristotle's laws of motion. In ''[[Physics (Aristotle)|Physics]]'' he states that objects fall at a speed proportional to their weight and inversely proportional to the density of the fluid they are immersed in.{{sfn| Drabkin | 1938 | pp=60–84}} This is a correct approximation for objects in Earth's gravitational field moving in air or water.{{sfn| Rovelli | 2015 | pp=23–40}}]]
Aristotle's Four Causes of a Table.svg,"[[File:Aristotle's Four Causes of a Table.svg| thumb | upright=1.5 | Aristotle argued by analogy with woodwork that a thing takes its form from [[four causes]]: in the case of a table, the wood used ([[material cause]]), its design ([[formal cause]]), the tools and techniques used ([[efficient cause]]), and its decorative or practical purpose ([[final cause]]).{{sfn| Leroi | 2015 | pages=88–90}}]]"
Aerial image of Stromboli (view from the northeast).jpg,[[File:Aerial image of Stromboli (view from the northeast).jpg| thumb | Aristotle noted that the ground level of the [[Aeolian islands]] changed before a [[volcanic eruption]].]]
Tremoctopus violaceus5.jpg,"[[File:Tremoctopus violaceus5.jpg| thumb | upright | Among many pioneering zoological observations, Aristotle described the reproductive [[hectocotylus|hectocotyl arm]] of the [[octopus]] (bottom left).]]"
Two of Aristotle's Growth Laws.svg,"[[File:Two of Aristotle's Growth Laws.svg| thumb | left | upright=1.4 | Aristotle inferred growth laws from his observations on animals, including that [[brood size]] decreases with body mass, whereas [[gestation]] period increases. He was correct in these predictions, at least for mammals: data are shown for mouse and elephant.]]"
Scyliorhinus retifer embryo.JPG,"[[File:Scyliorhinus retifer embryo.JPG|thumb |Aristotle recorded that the [[embryo]] of [[Mustelus canis|&lt;!--a different species shown--&gt;a dogfish]] was attached by a cord to a kind of placenta (the [[yolk sac]]), like a higher animal; this formed an exception to the linear scale from highest to lowest.{{sfn|Leroi|2015|pages=72–74}}]]"
Aristotelian Soul.png,"[[File:Aristotelian Soul.png| thumb | upright=1.5 | Aristotle proposed a three-part [[Soul#Aristotle|structure for souls]] of plants, animals, and humans, making humans unique in having all three types of soul.]]"
Aristotle Senses Perception Memory Dreams Action.svg,"[[File:Aristotle Senses Perception Memory Dreams Action.svg| thumb | upright=2.25 | Senses, perception, memory, dreams, action in Aristotle's psychology. Impressions are stored in the [[sensorium]] (the heart), linked by his [[laws of association]] (similarity, contrast, and [[Contiguity (psychology)|contiguity]]).]]"
Aristotle's constitutions.svg,[[File:Aristotle's constitutions.svg| thumb|upright=1.5 | Aristotle's classifications of political constitutions.]]
"Bénigne Gagneraux, The Blind Oedipus Commending his Children to the Gods.jpg","[[File:Bénigne Gagneraux, The Blind Oedipus Commending his Children to the Gods.jpg| thumb | upright=1.35 | ''The Blind Oedipus Commending his Children to the Gods'' (1784) by [[Bénigne Gagneraux]]. In his ''[[Poetics (Aristotle)|Poetics]]'', Aristotle uses the tragedy ''[[Oedipus Rex|Oedipus Tyrannus]]'' by [[Sophocles]] as an example of how the perfect tragedy should be structured, with a generally good protagonist who starts the play prosperous, but loses everything through some ''[[hamartia]]'' (fault).{{sfn| Kaufmann | 1968 | pages=56–60}}]]"
161Theophrastus 161 frontespizio.jpg,"[[File:161Theophrastus 161 frontespizio.jpg| thumb | upright | [[Book frontispiece|Frontispiece]] to a 1644 version of [[Theophrastus]]'s ''[[Historia Plantarum (Theophrastus)|Historia Plantarum]]'', originally written around 300 BCE.]]"
"Ibn_Bakhtīshūʿ,_Kitāb_naʿt_al-ḥayawān_probably_Baghdad,_c._1225._London,_British_Library,_Or._2784,_A_student_sitting_with_Aristotle_(right).jpg","[[File:Ibn_Bakhtīshūʿ,_Kitāb_naʿt_al-ḥayawān_probably_Baghdad,_c._1225._London,_British_Library,_Or._2784,_A_student_sitting_with_Aristotle_(right).jpg|thumb|upright|Islamic portrayal of Aristotle (right) in the ''[[Kitāb naʿt al-ḥayawān]]'', {{Circa|1220}}.&lt;ref&gt;{{cite book |last1=Contadini |first1=Anna |title=A World of Beasts: A Thirteenth-Century Illustrated Arabic Book on Animals (the Kitāb Na't al-Ḥayawān) in the Ibn Bakhtīshū' Tradition |date=1 January 2012 |doi=10.1163/9789004222656_005 |publisher=Brill |url=https://doi.org/10.1163/9789004222656_005 |page=75}}&lt;/ref&gt;]]"
William Harvey ( 1578-1657) Venenbild.jpg,"[[File:William Harvey ( 1578-1657) Venenbild.jpg| thumb | [[William Harvey]]'s ''[[Exercitatio Anatomica de Motu Cordis et Sanguinis in Animalibus|De Motu Cordis]]'', 1628, showed that the [[circulation of the blood|blood circulated]], contrary to classical era thinking.]]"
Aristotelis De Moribus ad Nicomachum.jpg,[[File:Aristotelis De Moribus ad Nicomachum.jpg| thumb | upright | First page of a 1566 edition of the ''[[Nicomachean Ethics]]'' in Greek and Latin.]]
DSC 7227 Музей кино.jpg,"[[File:DSC 7227 Музей кино.jpg|thumb|right|200px|Plaster War-time Oscar plaque (1943), State Central Museum of Cinema, Moscow [[:ru:Государственный центральный музей кино|(ru)]]]]"
31st Acad Awards.jpg,"[[File:31st Acad Awards.jpg|thumb|31st Academy Awards Presentations,&lt;br&gt;[[Pantages Theatre (Hollywood)|Pantages Theatre]], Hollywood, 1959]]"
81st Academy Awards Ceremony.JPG,"[[File:81st Academy Awards Ceremony.JPG|thumb|81st Academy Awards Presentations,&lt;br&gt;[[Dolby Theatre]], Hollywood, 2009]]"
Dolby Theatre Oscars Los Angeles USA Mar23 IMG 8321.jpg,"[[File:Dolby Theatre Oscars Los Angeles USA Mar23 IMG 8321.jpg|thumb|[[95th Academy Awards]], [[Dolby Theatre]], [[Hollywood, Los Angeles|Hollywood]], 2023]]"
"Academy Awards Viewership 1974-2023, in millions.png","[[File:Academy Awards Viewership 1974-2023, in millions.png|thumb|Academy Awards Viewership 1974–2023, in millions&lt;ref&gt;{{cite web | url=https://www.statista.com/statistics/253743/academy-awards--number-of-viewers/#:~:text=Number%20of%20Academy%20Awards%20TV%20viewers%202000%2D2023&amp;text=In%202023%2C%20around%2018.7%20million,million%20was%20back%20in%202014 | title=Oscars viewership by year 2000–2023 }}&lt;/ref&gt;&lt;ref&gt;{{Cite web|url=http://tvbythenumbers.zap2it.com/2012/02/24/with-no-blockbusters-up-for-best-picture-expect-academy-awards-viewership-to-fall-ratings-history-your-guess-for-this-year-poll/120239/|title=Academy Awards TV Ratings History – Ratings &amp;#124; TVbytheNumbers|date=December 10, 2013|archive-url=https://web.archive.org/web/20131210015818/http://tvbythenumbers.zap2it.com/2012/02/24/with-no-blockbusters-up-for-best-picture-expect-academy-awards-viewership-to-fall-ratings-history-your-guess-for-this-year-poll/120239/ |archive-date=December 10, 2013 }}&lt;/ref&gt;]]"
Belisaire demandant l'aumone Jacques-Louis David.jpg,[[File:Belisaire demandant l'aumone Jacques-Louis David.jpg|thumb|Giving [[alms]] to the poor is often considered an altruistic action.]]
"Manner of Francis Wheatley, Giving alms to beggar children.jpg","[[File:Manner of Francis Wheatley, Giving alms to beggar children.jpg|thumb|upright|Giving alms to beggar children]]"
FEMA - 15337 - Photograph by Andrea Booher taken on 09-10-2005 in Texas.jpg,"[[File:FEMA - 15337 - Photograph by Andrea Booher taken on 09-10-2005 in Texas.jpg|thumb|Volunteers assist Hurricane victims at the [[Houston Astrodome]], following Hurricane Katrina.]]"
Helping the homeless (cropped).jpg,[[File:Helping the homeless (cropped).jpg|right|thumb|Helping the [[Homelessness|homeless]] in New York City]]
"Peace Corps Volunteer swearing in Cambodia, 2007.jpg","[[File:Peace Corps Volunteer swearing in Cambodia, 2007.jpg|thumb|[[Peace Corps]] trainees swearing in as volunteers in [[Cambodia]], 4 April 2007]]"
Monks collecting alms - Bun Vat Phu.JPG,[[File:Monks collecting alms - Bun Vat Phu.JPG|thumb|Monks collecting alms]]
Ahinsa.jpg,[[File:Ahinsa.jpg|thumb|Sculpture depicting the Jain concept of {{transliteration|sa|ahimsa}} (non-injury)]]
Pola Negri by Ayn Rand cover.jpg,[[File:Pola Negri by Ayn Rand cover.jpg|thumb|upright|alt=Book cover with black-and-white drawings and text in Russian|Rand's first published work was a monograph in Russian about actress Pola Negri.]]
Night of January 16th jury flyer front.jpg,[[File:Night of January 16th jury flyer front.jpg|thumb|upright|alt=Poster for the play Night of January 16th|Rand's play ''[[Night of January&amp;nbsp;16th]]'' opened on Broadway in 1935.]]
The Fountain Head (1943 1st ed) - Ayn Rand.jpg,[[File:The Fountain Head (1943 1st ed) - Ayn Rand.jpg|thumb|upright|alt=Front cover of The Fountainhead|''[[The Fountainhead]]'' was Rand's first bestseller.]]
Famous fantastic mysteries 195306.jpg,"[[File:Famous fantastic mysteries 195306.jpg|thumb|upright|alt=Magazine cover with a man holding lightning bolts|Rand's novella ''Anthem'' was reprinted in the June 1953 issue of the pulp magazine ''[[Famous Fantastic Mysteries]]''.&lt;ref&gt;Ralston, Richard E. &quot;Publishing ''Anthem''&quot;. In {{harvnb|Mayhew|2005a|p=26}}.&lt;/ref&gt;]]"
Ayn Rand Marker.jpg,"[[File:Ayn Rand Marker.jpg|thumb|alt=Twin gravestone for Frank O'Connor and Ayn Rand O'Connor|Grave marker for Rand and her husband at [[Kensico Cemetery]] in [[Valhalla, New York]]{{sfn|Heller|2009|p=405}}]]"
Victor Hugo by Étienne Carjat 1876 - full.jpg,[[File:Victor Hugo by Étienne Carjat 1876 - full.jpg|thumb|upright|alt=Photo of Victor Hugo|Rand admired the novels of [[Victor Hugo]].]]
Ayn Rand (1957 Phyllis Cerf portrait).jpg,[[File:Ayn Rand (1957 Phyllis Cerf portrait).jpg|thumb|right|upright|alt=Photo of Rand|Rand in 1957]]
Atlas Shrugged (1957 1st ed) - Ayn Rand.jpg,[[File:Atlas Shrugged (1957 1st ed) - Ayn Rand.jpg|thumb|upright|alt=Dust jacket from ''Atlas Shrugged'' depicting railroad tracks|''[[Atlas Shrugged]]'' has sold more than 10 million copies.{{sfn|Offord|2022|p=12}}]]
TDTP08.JPG,"[[File:TDTP08.JPG|thumb|alt=Man holding a poster that says &quot;I am John Galt&quot;|A protester's sign at a 2009 Tea Party rally refers to John Galt, the hero of Rand's ''Atlas Shrugged''.]]"
Leonard Peikoff.tiff,[[File:Leonard Peikoff.tiff|thumb|right|upright|alt=Photo of Leonard Peikoff|Rand's heir [[Leonard Peikoff]] co-founded the Ayn Rand Institute.]]
Villeneuve-d'Ascq - IUT A - Alain Connes - 3.jpg,[[File:Villeneuve-d'Ascq - IUT A - Alain Connes - 3.jpg|thumb|Alain Connes at a conference in 2012 in [[Villeneuve-d'Ascq]].]]
"National anthem of Algeria, by the U.S. Navy Band.oga","| national_anthem        = {{lang|ar|قَسَمًا}}&lt;br /&gt;''[[Kassaman|Qasaman]]''&lt;br /&gt;&quot;We Pledge&quot;&lt;br /&gt;&lt;div style=&quot;display:inline-block;margin-top:0.4em;&quot;&gt;{{center|[[File:National anthem of Algeria, by the U.S. Navy Band.oga]]}}&lt;/div&gt;"
Djémila-109038.jpg,[[File:Djémila-109038.jpg|thumb|left|Roman ruins at [[Djémila]]]]
Timgad rue.jpg,[[File:Timgad rue.jpg|thumb|right|Ancient [[Roman Empire|Roman]] ruins of [[Timgad]] on the street leading to the local [[Arch of Trajan (Timgad)|Arch of Trajan]]]]
GM Massinissa.png,"[[File:GM Massinissa.png|thumb|left|[[Masinissa]] (c.&amp;nbsp;238–148&amp;nbsp;BC), first king of Numidia]]"
Justinian555AD.png,"[[File:Justinian555AD.png|thumb|right| The lands which comprise modern-day Algeria were part of [[Byzantine North Africa]] (The empire in 555 under [[Justinian the Great]], at its greatest extent since the fall of the [[Western Roman Empire]] ([[vassal state|vassals]] in pink))]]"
Side face (2).jpg,[[File:Side face (2).jpg|thumb|upright|Roman inscription from Agueneb in the province of Laghouat]]
Fatimid.jpg,"[[File:Fatimid.jpg|thumb|left|upright|Fatimid Caliphate, a [[Shia Islam|Shia]] [[Isma'ilism|Ismaili]] dynasty that ruled much of North Africa, c.&amp;nbsp;960–1100]]"
Statue of Dyhia in Khenchela (Algeria).jpg,"[[File:Statue of Dyhia in Khenchela (Algeria).jpg|thumb|upright|[[Dihya]] memorial in [[Khenchela]], Algeria]]"
Maghrawa dynasty - dynastie maghraoua.jpg,[[File:Maghrawa dynasty - dynastie maghraoua.jpg|thumb|Territories controlled by the [[Maghrawid Dynasty|Maghrawa]]]]
Mansourah-1.jpg,"[[File:Mansourah-1.jpg|thumb|left|[[Mansourah Mosque]], Tlemcen]]"
Maghreb 15th Century.svg,[[File:Maghreb 15th Century.svg|thumb|upright=1.15|The [[Kingdom of Tlemcen|Zayyanid kingdom]] of Tlemcen in the fifteenth century and its neighbors]]
